"LOCATION","Country","CRITERIA","Classification criteria","CUR","Measure","IND","Industry","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,27850484039,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,29211879149,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,30622218219,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,32124446864,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,34290381593,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,35581406829,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,37688592366,"E","Estimated value"
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,38551276282,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,39268701029,"E","Estimated value"
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,41440754334,,
"FRA","France","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,42895120810,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","1999","1999","USD","US Dollar","0","Units",,,35239388415,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2000","2000","USD","US Dollar","0","Units",,,37743395295,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2001","2001","USD","US Dollar","0","Units",,,39067926475,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2002","2002","USD","US Dollar","0","Units",,,40459569331,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2003","2003","USD","US Dollar","0","Units",,,42446080291,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2004","2004","USD","US Dollar","0","Units",,,43840280689,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2005","2005","USD","US Dollar","0","Units",,,44287950500,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2006","2006","USD","US Dollar","0","Units",,,48547952314,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2007","2007","USD","US Dollar","0","Units",,,51395968131,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2008","2008","USD","US Dollar","0","Units",,,56159132111,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2009","2009","USD","US Dollar","0","Units",,,55818820731,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2010","2010","USD","US Dollar","0","Units",,,58293978842,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2011","2011","USD","US Dollar","0","Units",,,64758036879,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2012","2012","USD","US Dollar","0","Units",,,68326961144,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2013","2013","USD","US Dollar","0","Units",,,69136939595,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2014","2014","USD","US Dollar","0","Units",,,74123788710,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2015","2015","USD","US Dollar","0","Units",,,78332194285,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2016","2016","USD","US Dollar","0","Units",,,83477725243,,
"DEU","Germany","MA","Main activity","USDPPP","PPP dollars - current prices","DTOTAL","TOTAL BUSINESS ENTERPRISE","2017","2017","USD","US Dollar","0","Units",,,92358885598,,
