"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"China","CHN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.94999980926514","5.01999998092651","5.78900003433228","6.34100008010864","6.66099977493286","7.02899980545044","7.38000011444092","7.49599981307983","7.59200000762939","7.65999984741211","8.94099998474121","9.95499992370605","10.7130002975464","10.4689998626709","10.5270004272461","10.3219995498657","10.1549997329712","10.7559995651245","11.1230001449585","10.7550001144409","10.9040002822876","11.0740003585815","11.2550001144409","11.4270000457764","11.5790004730225","11.4090003967285","11.2410001754761","10.8760004043579","11.5200004577637","12.8149995803833","12.0450000762939",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","639133931","647240834","655427845","663270319","671847528","681134982","691090292","702212311","712827243","722366791","731993932","739359587","747567993","755273050","762251082","769371829","774287018","776045119","776378197","775599059","774058122","780630108","783473778","785834240","789134205","792313225","794235571","794624153","794480608","795572880","789480186","791382586",
"China","CHN","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.1699981689453","78.943000793457","78.713996887207","78.484001159668","78.2519989013672","78.0179977416992","77.7819976806641","77.5439987182617","77.3040008544922","77.0630035400391","76.8199996948242","76.2730026245117","75.7170028686523","75.1520004272461","74.5790023803711","73.9970016479492","73.4059982299805","72.806999206543","72.1999969482422","71.5839996337891","70.9599990844727","71.0699996948242","70.8199996948242","70.5800018310547","70.4599990844727","70.3300018310547","70.0899963378906","69.75","69.4000015258789","69.1399993896484","68.25","68.056999206543",
"China","CHN","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.8749022582767","85.7957924871689","85.7149554791214","85.6345748735145","85.5556535166174","85.4761531231273","85.3981197098226","85.3183032507359","85.2409596637837","85.1628570796464","85.0862063648826","84.7490867557301","84.408887315658","84.0643744669446","83.7151670090734","83.3612510627153","83.0047318499294","82.643117296241","82.2784816232794","81.910642850317","81.5373006160281","81.7441221031477","81.9469830216271","82.1799369732358","82.4316652928031","82.6958614309905","82.9766369300248","83.28771780074","83.6201764878138","83.9481461800988","83.0106080034161","82.9344444103262",
"China","CHN","Labor force with basic education (% of total working-age population with basic education)","SL.TLF.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Labor force with advanced education, male (% of male working-age population with advanced education)","SL.TLF.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.39","79.26","79.13","79","78.84","78.64","78.41","78.14","77.8","77.4","76.92","76.11","75.2","74.24","73.32","72.51","71.82","71.26","70.78","70.3","69.75","69.6","69.47","69.36","69.24","69.14","69.05","68.93","68.78","68.57","","",
"China","CHN","Labor force participation rate for ages 15-24, male (%) (national estimate)","SL.TLF.ACTI.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","81.5400009155273","","","","","","","","77.4000015258789","","","","","","","","","","68.0400009155273","","","","","","","","","","59.5999984741211","","","","","","","","","","","",
"China","CHN","Children in employment, work only (% of children in employment, ages 7-14)","SL.TLF.0714.WK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Children in employment, work only, female (% of female children in employment, ages 7-14)","SL.TLF.0714.WK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Children in employment, study and work, male (% of male children in employment, ages 7-14)","SL.TLF.0714.SW.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Children in employment, male (% of male children ages 7-14)","SL.TLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7600002288818","22.6900005340576","24.2000007629395","26.2700004577637","28.3400001525879","29.7299995422363","30.1200008392334","30.4699993133545","30.6499996185303","31.2099990844727","31.4400005340576","32.4099998474121","33.189998626709","34.9300003051758","35.8499984741211","36.7999992370605","37.1599998474121","38.2000007629395","39.3199996948242","40.0099983215332","41.4000015258789","42.0200004577637","44.7999992370605","47.2400016784668","49.0900001525879","50.5699996948242","52.1399993896484","53.0400009155273","54.9199981689453","","",
"China","CHN","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3600006103516","23.4699993133545","24.0200004577637","24.2700004577637","24.5200004577637","24.9500007629395","24.9400005340576","24.5100002288818","23.6700000762939","22.7900009155273","22.2999992370605","21.0200004577637","20.9500007629395","21.8700008392334","22.9500007629395","24.1399993896484","25.5599994659424","25.7099990844727","25.9899997711182","26.6200008392334","27.1800003051758","27.7600002288818","27.3199996948242","26.8600006103516","25.8799991607666","25.2399997711182","24.25","24.1800003051758","23.0599994659424","","",
"China","CHN","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8300018310547","40.5900001525879","39.3899993896484","38.2799987792969","37.3400001525879","36.5","35.7000007629395","35.0299987792969","34.2900009155273","33.4199981689453","32.5299987792969","31.5499992370605","30.4699993133545","29.3999996185303","28.2099990844727","26.9899997711182","25.75","24.7399997711182","23.7900009155273","22.75","21.7900009155273","21","20.25","19.5400009155273","18.8799991607666","18.2600002288818","17.6200008392334","16.9400005340576","16.1700000762939","","",
